"Feature / Workflow","One-Line Description","Frontend Status","Backend Status","Data Status","Functional Status","Score / 100","Evidence / Files Checked","Key Gaps"
"Error handling / loading states / empty states","Graceful UI behavior during load, failure, stale, and empty conditions","Complete","Partial","Mixed","Partially Functional","76","frontend/src/context/PortfolioContext.tsx; frontend/src/services/api.ts; multiple page components","Some failures are softened into empty or stale states, which can hide underlying data/provider problems"
"Portfolio optimization / efficient frontier","Compute frontier, min-variance, max-Sharpe, and rebalance suggestions","Complete","Complete","Mixed","Functional","76","frontend/src/app/optimize/page.tsx; frontend/src/hooks/useOptimization.ts; backend/app/api/v1/endpoints/optimization.py; backend/app/optimization/optimizer_service.py","Quality depends on price history coverage and may use Monte Carlo fallback when scipy is unavailable"
"Portfolio refresh / re-upload","Replace holdings in an existing portfolio with a fresh file import","Complete","Complete","Real","Functional","78","frontend/src/app/portfolios/page.tsx; frontend/src/hooks/usePortfolios.ts; frontend/src/services/api.ts; backend/app/api/v1/endpoints/portfolios_mgmt.py","Workflow works, but background progress and post-refresh trust indicators are limited"
"Risk metrics / quant analytics","Compute portfolio risk, benchmark comparison, drawdown, and correlation","Complete","Complete","Mixed","Functional","78","frontend/src/app/risk/page.tsx; frontend/src/hooks/useQuantAnalytics.ts; backend/app/api/v1/endpoints/quant.py; backend/app/analytics/quant_service.py","Advanced metrics require usable price history and degrade sharply for bad or unsupported symbols"
"API client / service layer","Central frontend transport and typed API wrapper layer","Complete","Partial","Mixed","Functional","79","frontend/src/services/api.ts; frontend/src/generated/api-types.ts","Well centralized, but still exposes deprecated and legacy routes and stale mock/frontier type hints"
"Snapshots / history / changes","Capture portfolio snapshots, build daily history, and compare changes over time","Complete","Complete","Real","Functional","79","frontend/src/app/changes/page.tsx; frontend/src/hooks/useSnapshots.ts; frontend/src/hooks/usePortfolioHistory.ts; backend/app/api/v1/endpoints/history.py; backend/app/api/v1/endpoints/snapshots.py; backend/app/services/snapshot_service.py","Core flow works, but snapshot risk payloads are not actually persisted and history build is async/failure-prone"
"Sector enrichment / sector page","Store and display sector allocations and sector-level portfolio drift","Complete","Complete","Uploaded","Functional","80","frontend/src/app/sectors/page.tsx; backend/app/services/portfolio_service.py; backend/app/ingestion/sector_enrichment.py","Unknown sectors remain when enrichment cannot resolve ticker metadata"
"Since-purchase P&L","Show holding-level P&L against average purchase cost","Complete","Complete","Real","Functional","80","frontend/src/app/changes/page.tsx; frontend/src/hooks/usePortfolioHistory.ts; backend/app/api/v1/endpoints/history.py","Accuracy depends on current_price freshness because current values are reused rather than independently refreshed"
"Portfolio management","List, activate, rename, delete, and inspect portfolios","Complete","Complete","Real","Functional","80","frontend/src/app/portfolios/page.tsx; frontend/src/hooks/usePortfolios.ts; backend/app/api/v1/endpoints/portfolios_mgmt.py","Works in a single global app context, not in a user-scoped multi-portfolio environment"
"Portfolio summary / dashboard","Main summary dashboard driven by the active stored portfolio","Complete","Complete","Uploaded","Functional","82","frontend/src/app/dashboard/page.tsx; frontend/src/context/PortfolioContext.tsx; backend/app/api/v1/endpoints/portfolio.py; backend/app/services/portfolio_service.py","Commentary is supplemental and can silently drop out without surfacing an explicit status"
"Environment variable handling","Feature flags and provider keys define runtime capabilities","Complete","Complete","Real","Functional","82","backend/app/core/config.py; backend/app/services/feature_registry.py; backend/.env.example","Good centralization, but optional-provider absence is often only discovered at runtime"
"Watchlist","CRUD watchlist with cached state and optional live quotes","Complete","Complete","Real","Functional","83","frontend/src/app/watchlist/page.tsx; frontend/src/hooks/useWatchlist.ts; backend/app/api/v1/endpoints/watchlist.py; backend/app/models/portfolio.py","No user isolation; live quotes are non-critical and can fail silently"
"Holdings table","Display holdings with weights, P&L, and portfolio-level filtering","Complete","Complete","Uploaded","Functional","84","frontend/src/app/holdings/page.tsx; frontend/src/components/modules/HoldingsTable.tsx; backend/app/api/v1/endpoints/portfolio.py","Output quality still depends on enrichment and pricing quality for each ticker"
"Column mapping / schema detection","Detect canonical columns and let users fix them before import","Complete","Complete","Uploaded","Functional","85","frontend/src/components/upload/ColumnMapper.tsx; backend/app/services/upload_parse_service.py; backend/app/ingestion/column_detector.py","Heuristic detection still relies on user correction for irregular broker exports"
"Portfolio CSV upload","Upload wizard for CSV/XLSX portfolio files","Complete","Complete","Uploaded","Functional","86","frontend/src/app/upload/page.tsx; frontend/src/components/upload/UploadDropzone.tsx; backend/app/api/v1/endpoints/upload.py","Import succeeds quickly, but async enrichment visibility is weaker than the UX implies"
"Portfolio ingestion","Normalize valid rows and persist a canonical active uploaded portfolio","Complete","Complete","Real","Functional","88","backend/app/services/upload_v2_service.py; backend/app/ingestion/normalizer.py; backend/app/services/portfolio_manager.py; backend/app/models/portfolio.py","Strong core flow, but still single-user and dependent on downstream enrichment for full fidelity"
